,Ps,Pi,Pd,Average error,SD
0,0.0,0.008,0.008,0.0,0.0
1,0.002,0.008,0.008,0.04092152324847465,0.20047577293932428
2,0.004,0.008,0.008,0.010101010101010102,0.10050378152592122
3,0.006,0.008,0.008,0.010416666666666668,0.10364452469860622
4,0.008,0.008,0.008,0.010204081632653062,0.10152933031700206
5,0.01,0.008,0.008,0.010416666666666668,0.10364452469860623
6,0.012,0.008,0.008,0.02051335998316852,0.14359544654906845
7,0.014,0.008,0.008,0.030930026649835192,0.17588200050974617
8,0.016,0.008,0.008,0.06186005329967038,0.24485837357440263
9,0.018000000000000002,0.008,0.008,0.09442656462406433,0.3964376255442558
10,0.02,0.008,0.008,0.05165378006872852,0.26823742004817297
11,0.022,0.008,0.008,0.042004948978698824,0.20580758834181428
12,0.024,0.008,0.008,0.0628473284836923,0.24879923395960987
13,0.026000000000000002,0.008,0.008,0.08280303575581073,0.3794221133440236
14,0.028,0.008,0.008,0.05263391190742814,0.2294312558343931
15,0.03,0.008,0.008,0.08435782572924978,0.2861386533539514
16,0.032,0.008,0.008,0.03158828231203215,0.17964594382815247
17,0.034,0.008,0.008,0.1175310404091432,0.3680406053885243
18,0.036000000000000004,0.008,0.008,0.10574708188054598,0.3173069211586299
19,0.038,0.008,0.008,0.07439024761765495,0.31015256810060515
20,0.04,0.008,0.008,0.08678978066421056,0.3662088382890852
21,0.042,0.008,0.008,0.11746391173109266,0.4234412794313323
22,0.044,0.008,0.008,0.11812485565937698,0.397977213391906
23,0.046,0.008,0.008,0.010526315789473684,0.10473551969543367
24,0.048,0.008,0.008,0.08506062667165784,0.32696494825333006
25,0.05,0.008,0.008,0.12827077437092568,0.3474250820363624
26,0.052000000000000005,0.008,0.008,0.17143579788809798,0.47001554429701525
27,0.054,0.008,0.008,0.09896219901768977,0.3534360069548406
28,0.056,0.008,0.008,0.21484629247124318,0.567710055882774
29,0.058,0.008,0.008,0.15202560042885516,0.4621495237357856
30,0.06,0.008,0.008,0.06706892978434174,0.30944293613369467
31,0.062,0.008,0.008,0.1094635054634249,0.42658241660757473
32,0.064,0.008,0.008,0.1179913060807335,0.36723883474889407
33,0.066,0.008,0.008,0.1991206102180938,0.5479269388873218
34,0.068,0.008,0.008,0.20988366649938342,0.6015857843398826
35,0.07,0.008,0.008,0.20774236245030575,0.5739518573022964
36,0.07200000000000001,0.008,0.008,0.23332134926288225,0.6188896522859342
37,0.074,0.008,0.008,0.20372261717996495,0.5889765769470026
38,0.076,0.008,0.008,0.1800700802351893,0.47330610197854345
39,0.078,0.008,0.008,0.25444240605755547,0.7309881907408344
40,0.08,0.008,0.008,0.20153984385110327,0.5851247975015247
41,0.082,0.008,0.008,0.18011018575997298,0.5035748786688685
42,0.084,0.008,0.008,0.24908191644442268,0.7558790715335516
43,0.08600000000000001,0.008,0.008,0.14682962139241945,0.41191871094723087
44,0.088,0.008,0.008,0.15669766900257004,0.5021076620116267
45,0.09,0.008,0.008,0.2440004591924611,0.635023961936124
46,0.092,0.008,0.008,0.27014399270129963,0.7954551824405699
47,0.094,0.008,0.008,0.25037029659071325,0.5920294607624924
48,0.096,0.008,0.008,0.23884301662200258,0.6091550111734513
49,0.098,0.008,0.008,0.20588480426456818,0.6598588345358077
50,0.1,0.008,0.008,0.20909716666805586,0.5293159407037072
51,0.10200000000000001,0.008,0.008,0.40990855057385067,1.0034185710088257
52,0.10400000000000001,0.008,0.008,0.25077794954406246,0.6128479605513091
53,0.106,0.008,0.008,0.28929137838867586,0.943044379335108
54,0.108,0.008,0.008,0.47168074519707254,0.9742819840544413
55,0.11,0.008,0.008,0.3075924046790892,0.7015673338749309
56,0.112,0.008,0.008,0.30021410452575986,0.7087417534793009
57,0.114,0.008,0.008,0.16466073752085408,0.5040858092443677
58,0.116,0.008,0.008,0.42435236959190403,0.936141912947952
59,0.11800000000000001,0.008,0.008,0.28248147554236785,0.6547806878571604
60,0.12,0.008,0.008,0.33568438253837024,0.9917603318084244
61,0.122,0.008,0.008,0.3350222348753349,0.7354750153897697
62,0.124,0.008,0.008,0.22206716274130003,0.6818230583542662
63,0.126,0.008,0.008,0.41357431221609126,1.0113563056071595
64,0.128,0.008,0.008,0.3292785780868009,0.6470176464268454
65,0.13,0.008,0.008,0.4978898930588195,1.0531346678619389
66,0.132,0.008,0.008,0.3906143765869176,0.8248570564487552
67,0.134,0.008,0.008,0.5352438308939774,1.1040203814943654
68,0.136,0.008,0.008,0.7418075445654728,1.417684515526262
69,0.138,0.008,0.008,0.5606142698955476,1.1495156940510254
70,0.14,0.008,0.008,0.4687606174070876,0.8855869945827783
71,0.14200000000000002,0.008,0.008,0.6497418060187085,1.4048298942516402
72,0.14400000000000002,0.008,0.008,0.5944859220227575,1.1578424209520166
73,0.146,0.008,0.008,0.5922035955635061,1.1205611808839944
74,0.148,0.008,0.008,0.6981290793270121,1.3797777189259899
75,0.15,0.008,0.008,0.5323454923976182,1.225424220128087
76,0.152,0.008,0.008,0.559118558573903,1.1344227237033364
77,0.154,0.008,0.008,0.6412603479610892,1.3255721785926304
78,0.156,0.008,0.008,0.4554596361139724,1.0752987219311674
79,0.158,0.008,0.008,0.4602201482345162,1.051516340358055
80,0.16,0.008,0.008,0.6601521751840026,1.3512656876856637
81,0.162,0.008,0.008,0.676443884984512,1.3347200310046685
82,0.164,0.008,0.008,0.8400555742672764,1.4756207878911982
83,0.166,0.008,0.008,0.5693067755673102,1.0007620703110927
84,0.168,0.008,0.008,0.6083591420413529,1.150492042524016
85,0.17,0.008,0.008,0.8659657338844795,1.9064543202476176
86,0.17200000000000001,0.008,0.008,0.9995084202180865,1.7628646286801088
87,0.17400000000000002,0.008,0.008,1.0371575622726406,2.055624604542493
88,0.176,0.008,0.008,0.8696124385712737,1.7069330959264455
89,0.178,0.008,0.008,0.8115124865363083,1.4335485192011412
90,0.18,0.008,0.008,0.6575096716829772,1.2168108627402987
91,0.182,0.008,0.008,0.7545362326716749,1.4654352070408816
92,0.184,0.008,0.008,0.6185327827847628,1.255432713433485
93,0.186,0.008,0.008,0.9288631021181765,1.6199900799413018
94,0.188,0.008,0.008,0.9280611747835966,1.8916591821035424
95,0.19,0.008,0.008,0.7844490574385489,1.218276005888912
96,0.192,0.008,0.008,0.9234994214459085,1.5198137834777754
97,0.194,0.008,0.008,0.9293983208676166,1.9525763803963594
98,0.196,0.008,0.008,0.9853717883750501,1.9395037506653976
99,0.198,0.008,0.008,0.8580160849518337,1.5514328934754862
100,0.2,0.008,0.008,0.9630281450226544,1.628227933600464
101,0.0,0.01,0.01,0.0,0.0
102,0.002,0.01,0.01,0.0,0.0
103,0.004,0.01,0.01,0.020725945017182133,0.14508360230718656
104,0.006,0.01,0.01,0.030614370084178624,0.17408690662380438
105,0.008,0.01,0.01,0.0,0.0
106,0.01,0.01,0.01,0.04145189003436427,0.25087997650677135
107,0.012,0.01,0.01,0.05209018790670468,0.27067133628326373
108,0.014,0.01,0.01,0.02051335998316852,0.14359544654906845
109,0.016,0.01,0.01,0.07305176809666333,0.3036187639769235
110,0.018000000000000002,0.01,0.01,0.09475988914065386,0.33612009824770983
111,0.02,0.01,0.01,0.14721915818004486,0.36498380248973605
112,0.022,0.01,0.01,0.06239706408879341,0.28758204684284927
113,0.024,0.01,0.01,0.05177219838098839,0.27037058575673684
114,0.026000000000000002,0.01,0.01,0.10422593144696346,0.3457326595968308
115,0.028,0.01,0.01,0.09437628974777226,0.3649432425223739
116,0.03,0.01,0.01,0.08421985815602838,0.3842090577018189
117,0.032,0.01,0.01,0.10495280515676189,0.40589442531598896
118,0.034,0.01,0.01,0.13614291864958322,0.3807142744368658
119,0.036000000000000004,0.01,0.01,0.08465845464725645,0.35667768291408125
120,0.038,0.01,0.01,0.11788600459099742,0.4300782290359958
121,0.04,0.01,0.01,0.08427009991909092,0.35656508513568874
122,0.042,0.01,0.01,0.09612166823004001,0.3057103400039921
123,0.044,0.01,0.01,0.12869072817725247,0.37793773739704284
124,0.046,0.01,0.01,0.032611264378445304,0.18544302839775675
125,0.048,0.01,0.01,0.11940139565939807,0.33974819774889964
126,0.05,0.01,0.01,0.18321775028059104,0.5502419297469513
127,0.052000000000000005,0.01,0.01,0.19564491460478226,0.5213731963714858
128,0.054,0.01,0.01,0.21769665435750502,0.5116534509130001
129,0.056,0.01,0.01,0.18527617648651648,0.5189644520773053
130,0.058,0.01,0.01,0.21862730458443955,0.6910215234128031
131,0.06,0.01,0.01,0.1315971295204453,0.4771793286683295
132,0.062,0.01,0.01,0.1863247335351948,0.5815222611167487
133,0.064,0.01,0.01,0.23146194784174295,0.5965172399618887
134,0.066,0.01,0.01,0.30247310096402774,0.6993380328768382
135,0.068,0.01,0.01,0.28291032445273373,0.6060923466752882
136,0.07,0.01,0.01,0.23309143689715214,0.7276457147594722
137,0.07200000000000001,0.01,0.01,0.2863330258593199,0.6748441173537176
138,0.074,0.01,0.01,0.24279709282388262,0.6548023849253587
139,0.076,0.01,0.01,0.24724076938421263,0.6261936940842501
140,0.078,0.01,0.01,0.28647201829552227,0.6912845464035758
141,0.08,0.01,0.01,0.3575145728867991,0.8380833935258313
142,0.082,0.01,0.01,0.2912003537472616,0.6856088280030233
143,0.084,0.01,0.01,0.24534789807336613,0.5821178643886666
144,0.08600000000000001,0.01,0.01,0.2823133914608884,0.6302421792508024
145,0.088,0.01,0.01,0.2894531657935473,0.5786044365926718
146,0.09,0.01,0.01,0.32970004620747845,0.7074216860184664
147,0.092,0.01,0.01,0.347326709291748,0.7210582477808825
