,Ps,Pi,Pd,Average error,SD
0,0.0,0.008,0.008,0.0,0.0
1,0.02,0.008,0.008,0.0825593395252838,0.1651186790505676
2,0.04,0.008,0.008,0.12716856719934883,0.156234220712148
3,0.06,0.008,0.008,0.12891720967746695,0.12513970161406326
4,0.08,0.008,0.008,0.33078998370337553,0.0031077533508659114
5,0.1,0.008,0.008,0.22486637407438076,0.1014445494659216
6,0.12,0.008,0.008,0.3647658627811595,0.18049486894927103
7,0.14,0.008,0.008,0.5601114882436928,0.2856263015869845
8,0.16,0.008,0.008,0.9876754524577327,0.4945363177960555
9,0.18,0.008,0.008,1.0138131742459053,0.6908698145873695
10,0.2,0.008,0.008,0.9715721222005065,0.3219081932947138
11,0.0,0.01,0.01,0.0,0.0
12,0.02,0.01,0.01,0.04117345403533755,0.05042698779830448
13,0.04,0.01,0.01,0.12631588278185002,0.07871261619782643
14,0.06,0.01,0.01,0.08685537910406663,0.08202898691652331
15,0.08,0.01,0.01,0.2430290858218105,0.21427286632045422
16,0.1,0.01,0.01,0.27024785861967865,0.18442136983855226
17,0.12,0.01,0.01,0.6463662680368355,0.2507307026913392
18,0.14,0.01,0.01,0.8095212647849935,0.2587219835165058
19,0.16,0.01,0.01,0.8044854337125615,0.5547149548626201
20,0.18,0.01,0.01,0.7945414548896959,0.35592673275722925
21,0.2,0.01,0.01,1.5896321782759484,0.6684434804091922
22,0.0,0.02,0.02,0.0,0.0
23,0.02,0.02,0.02,0.16693114748688212,0.10671712459099614
24,0.04,0.02,0.02,0.2552866531600676,0.18610954645590394
25,0.06,0.02,0.02,0.39079366440859176,0.3192937401180332
26,0.08,0.02,0.02,0.6912978061037783,0.26162830181031443
27,0.1,0.02,0.02,0.6370647922559555,0.3332934031941884
28,0.12,0.02,0.02,1.1911671025775885,0.2766885139379973
29,0.14,0.02,0.02,1.3196145183295924,0.43904302070604834
30,0.16,0.02,0.02,1.7006970081959458,0.9073499931868539
31,0.18,0.02,0.02,1.855943998648669,0.4300260103019332
32,0.2,0.02,0.02,2.50800968329193,0.6312930469224458
