,Ps,Pi,Pd,Average error,SD
0,0.0,0.008,0.008,0.0,0.0
1,0.022222222222222223,0.008,0.008,0.024768639575071635,0.04407710071114325
2,0.044444444444444446,0.008,0.008,0.050578685555347745,0.10395958862763281
3,0.06666666666666667,0.008,0.008,0.13838959702794248,0.14869561977397963
4,0.08888888888888889,0.008,0.008,0.15522763078654644,0.15074272210877931
5,0.11111111111111112,0.008,0.008,0.1504480346833617,0.13154678259489813
6,0.13333333333333333,0.008,0.008,0.2532066968928693,0.23655123565811545
7,0.15555555555555556,0.008,0.008,0.22910874342777177,0.20946273983094782
8,0.17777777777777778,0.008,0.008,0.38797246484990977,0.3530738762714059
9,0.2,0.008,0.008,0.4564072986835768,0.33390097907063593
10,0.0,0.01,0.01,0.0,0.0
11,0.022222222222222223,0.01,0.01,0.041597799170450506,0.092834098002464
12,0.044444444444444446,0.01,0.01,0.09325934502132674,0.10086555322247732
13,0.06666666666666667,0.01,0.01,0.16873037476406666,0.1757380254413393
14,0.08888888888888889,0.01,0.01,0.16833330209335917,0.17119571189469526
15,0.11111111111111112,0.01,0.01,0.192031173508434,0.1588812811878673
16,0.13333333333333333,0.01,0.01,0.34327259163435636,0.2531721869391269
17,0.15555555555555556,0.01,0.01,0.3720975702044813,0.28091979049827487
18,0.17777777777777778,0.01,0.01,0.42469457876211647,0.24846979370037875
19,0.2,0.01,0.01,0.6250673808007442,0.41448615715618875
20,0.0,0.02,0.02,0.0,0.0
21,0.022222222222222223,0.02,0.02,0.08385127381624954,0.1072362784029651
22,0.044444444444444446,0.02,0.02,0.20525378760199572,0.18311580581603668
23,0.06666666666666667,0.02,0.02,0.2723176778462992,0.14516568985379602
24,0.08888888888888889,0.02,0.02,0.3324321273861745,0.21123904274376926
25,0.11111111111111112,0.02,0.02,0.5002969630084945,0.27941005025480403
26,0.13333333333333333,0.02,0.02,0.6682466997893363,0.412287868289353
27,0.15555555555555556,0.02,0.02,0.6721919371059053,0.34111112036251
28,0.17777777777777778,0.02,0.02,1.095867713994699,0.3719383421020001
29,0.2,0.02,0.02,1.2651534200206496,0.507054401744894
