,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates
0,3,1.8333333333333333,1.8517592569443289,19.36111111111111,9.593231603197777,23.708333333333332,10.486350254815385,0.4444444444444444
1,4,1.5208333333333335,1.0356073768030474,7.333333333333334,3.8828325857405814,12.895833333333332,8.520782395935768,0.3333333333333333
2,5,1.5499999999999998,0.9819198881103625,5.2666666666666675,2.682453271830761,9.0625,7.379089026506667,0.26666666666666666
3,6,1.902777777777778,1.0310570807204147,2.666666666666667,1.3955396318978301,4.166666666666667,5.358663805257592,0.2222222222222222
4,7,1.0833333333333333,0.8383353281646787,2.119047619047619,0.9094490121325847,1.2083333333333333,3.0330929391922328,0.19047619047619047
5,8,1.25,0.7276770498572076,2.15625,0.9027711004026558,2.604166666666667,4.433879587273931,0.16666666666666666
6,9,1.2037037037037037,0.9024809578526818,2.0,0.6615026333145094,2.2083333333333335,4.660524231361866,0.14814814814814814
7,10,1.1333333333333333,0.706320670013903,1.6333333333333335,0.7916228058025279,2.5208333333333335,5.050053286297527,0.13333333333333333
8,11,1.090909090909091,0.5860327153276884,1.5984848484848484,0.7784620825433692,3.625,5.278855884038173,0.1212121212121212
9,12,0.9305555555555556,0.5574620066774855,1.5763888888888888,0.6376422015209579,2.7916666666666665,4.960083724651788,0.1111111111111111
10,13,0.8269230769230769,0.48476968103986234,1.4423076923076923,0.5922119469734354,2.4791666666666665,4.903540033599309,0.10256410256410256
11,14,0.8035714285714286,0.5070017129768412,1.4047619047619047,0.5502009527757782,2.625,4.8789158062467575,0.09523809523809523
12,15,0.7166666666666666,0.3599982853182759,1.3222222222222222,0.5620728831085218,2.125,4.207920771856597,0.08888888888888888
13,16,0.6458333333333334,0.44876373392787533,1.1614583333333333,0.42155337534396387,2.7708333333333335,5.056580901821572,0.08333333333333333
14,17,0.696078431372549,0.3450924687607459,1.1225490196078431,0.4273149180823041,2.1875,4.47092264589263,0.0784313725490196
15,18,0.7017543859649124,0.3376317363682022,0.9795321637426903,0.45143122405928865,2.149122807017544,4.6106902024331635,0.07407407407407407
16,19,0.5741626794258374,0.3568673353926297,1.068580542264753,0.3774213577735003,1.893939393939394,3.549035573891084,0.07017543859649122
17,20,0.6333333333333333,0.3231786571610886,0.8888888888888888,0.3142696805273545,1.6111111111111112,4.4872934458463725,0.06666666666666667
