,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,codeword_length
0,3,1.7361111111111112,1.3447858840997975,3.8541666666666665,2.8882127280284737,5.520833333333334,7.623010644152624,72
1,4,1.6145833333333335,1.1158481919598202,4.036458333333334,2.657653836550305,7.109375,7.905308120773978,96
2,5,1.5833333333333335,1.0341394704992382,4.666666666666666,2.4636242498490803,8.666666666666668,7.922804638089553,120
3,6,1.597222222222222,1.0439789151647854,6.215277777777778,2.773216741561866,10.086805555555557,7.865924585163228,144
4,7,1.9047619047619047,1.0910894511799618,6.5625,2.9983918946798185,10.967261904761907,8.371392151953662,168
5,8,1.7057291666666667,0.9460511347522248,5.625,1.9736765959892102,8.723958333333334,8.02805917753389,192
6,9,1.6782407407407405,0.9298960026738214,5.347222222222222,2.3628125677786365,9.652777777777777,8.276264206225433,216
7,10,1.5,0.7383352144445563,5.15625,1.8034676763729987,7.947916666666667,7.40295285257849,240
8,11,1.7518939393939394,0.7221226069430443,4.2518939393939394,1.4803956404609155,4.441287878787879,6.34906989737504,264
9,12,1.5798611111111112,0.7839459656163635,6.553819444444443,2.3294800928304835,10.460069444444443,7.679103230367893,288
10,13,1.5384615384615385,0.7454938044623723,5.512820512820513,1.4760998640601863,8.173076923076923,7.058562674854244,312
11,14,1.555059523809524,0.643461397562481,6.904761904761905,1.50172331089796,11.257440476190476,7.3213340525741675,336
12,15,1.5972222222222223,0.5949569441834416,5.722222222222222,1.445779297741456,9.42361111111111,6.314906032115161,360
